traditionalName	bname	NativeGene	in_iYLI647
tMAE	YALI0E14190g	tMAE	1
TRP22	YALI0B00396g	TRP22	1
TRP6	YALI0C04730g	TRP6	0
TRX	YALI0D27126g	TRX	1
TX	YALI0B00396g	TX	1
UGA2	YALI0F26191g	UGA2	1
URA3	YALI0E26741g	URA3	0
UTR1	YALI0E27874g	UTR1	1
XKS	YALI0F14583g	XKS	0
XYL1	YALI0D07634g	XYL1	1
XYL2	YALI0E12463g	XYL2	1
YALI0A15147g	YALI0A15147g	YALI0A15147g	1
YALI0B10175g	YALI0B10175g	YALI0B10175g	0
YALI0D02167g	YALI0D02167g	YALI0D02167g	0
YALI0D03597g	YALI0D03597g	YALI0D03597g	0
YALI0D25630g	YALI0D25630g	YALI0D25630g	0
YALI0E07766g	YALI0E07766g	YALI0E07766g	0
YALI0E07810g	YALI0E07810g	YALI0E07810g	0
YALI0E15818g	YALI0E15818g	YALI0E15818g	0
YALI0E17787g	YALI0E17787g	YALI0E17787g	1
YALI0F08129g	YALI0F08129g	YALI0F08129g	1
YALI0F09603g	YALI0F09603g	YALI0F09603g	1
YALI0F14729g	YALI0F14729g	YALI0F14729g	0
YEF1	YALI0E23991g	YEF1	0
ylGLK1	YALI0E15488g	ylGLK1	1
ylGSY1	YALI0F18502g	ylGSY1	1
ylHXK1	YALI0B22308g	ylHXK1	1
ylME	YALI0E14190g	ylME	1
ylXDH	YALI0E12463g	ylXDH	1
ylXK	YALI0F10923g	ylXK	1
ylXR	YALI0D07634g	ylXR	1
YOX1	YALI0A02354g	YOX1	0
ZWF	YALI0E22649g	ZWF	1
